ZdAId;ZdAVersion;ZdACreated;ZdAChanged;ZdAName;ZdAXEpsg2154;ZdAYEpsg2154;ZdCId;ZdAType;ZdAPostalRegion;ZdATown,
58536;58536-71799;2014-12-29T16:31:51+01:00;2023-07-10T14:10:11+02:00;Porte de Bagnolet - Louis Ganne;656655;6862762;71799;onstreetBus;75120;Paris 20e,
42824;42824-71614;2014-12-29T16:31:51+01:00;2023-07-10T14:10:11+02:00;Docteur Goujon - Reuilly;655728;6860120;71614;onstreetBus;75112;Paris 12e,
49402;1182326-1182325;2014-12-29T01:00:00+01:00;2023-07-10T11:02:20+02:00;Zone d'activités et de commerces;691698;6834586;62337;onstreetBus;77317;Mormant,
55579;1283455-1283456;2014-12-29T01:00:00+01:00;2023-07-07T17:38:57+02:00;Croix Saint-Jacques;674012;6824655;61883;onstreetBus;77152;Dammarie-les-Lys,
414331;606254-606256;2015-03-09T19:11:38+01:00;2023-07-07T17:11:25+02:00;Vergers;670309;6889651;414332;onstreetBus;60432;Mortefontaine,
415755;658855-871076;2015-04-23T17:30:16+02:00;2023-07-07T17:11:25+02:00;Lilas;669144;6889414;426620;onstreetBus;60494;Plailly,
480916;1256057-1256671;2021-04-22T17:22:34+02:00;2023-07-06T17:07:20+02:00;Sagette;710285;6872789;480949;onstreetBus;77388;Reuil-en-Brie,
47328;1232606-1119882;2014-12-29T01:00:00+01:00;2023-07-06T17:07:20+02:00;Passage à Niveau;691428;6862540;68311;onstreetBus;77142;Crécy-la-Chapelle,
47329;1100499-1119882;2014-12-29T01:00:00+01:00;2023-07-06T17:07:20+02:00;Gare de Villiers Montbarbin;691586;6862543;68311;onstreetBus;77142;Crécy-la-Chapelle,
48832;48832-68987;2014-12-29T16:31:51+01:00;2023-07-06T17:07:20+02:00;Pinteville;690880;6873561;68987;onstreetBus;77284;Meaux,
47453;47453-68953;2014-12-29T16:31:51+01:00;2023-07-06T17:07:20+02:00;Poste;691397;6873042;68953;onstreetBus;77284;Meaux,
58228;1257298-1257310;2014-12-29T01:00:00+01:00;2023-07-06T17:07:20+02:00;Montpichet RD33;692398;6864273;68439;onstreetBus;77047;Bouleurs,
56388;56388-1183895;2014-12-29T16:31:51+01:00;2023-07-06T17:07:20+02:00;Parc de Félins;697063;6846004;67541;onstreetBus;77264;Lumigny-Nesles-Ormeaux,
42372;42372-67971;2014-12-29T16:31:51+01:00;2023-07-06T17:07:20+02:00;Boulangerie;693955;6857654;67971;onstreetBus;77154;Dammartin-sur-Tigeaux,
42692;42692-68096;2014-12-29T16:31:51+01:00;2023-07-06T17:07:20+02:00;Collège du Segrais;674504;6859508;68096;onstreetBus;77258;Lognes,
42700;42700-68143;2014-12-29T16:31:51+01:00;2023-07-06T17:07:20+02:00;Collège Jean Monnet;674147;6860340;68143;onstreetBus;77468;Torcy,
42921;1413675-1007613;2014-12-29T01:00:00+01:00;2023-07-06T17:07:20+02:00;Eglise;685097;6837392;62447;onstreetBus;77222;Guignes,
52570;52570-69057;2014-12-29T16:31:51+01:00;2023-07-06T17:07:20+02:00;La Brussette;714246;6874663;69057;onstreetBus;77290;Méry-sur-Marne,
52595;52595-68635;2014-12-29T16:31:51+01:00;2023-07-06T17:07:20+02:00;Braunston;690381;6866740;68635;onstreetBus;77382;Quincy-Voisins,
52746;1225691-1225692;2014-12-29T01:00:00+01:00;2023-07-06T17:07:20+02:00;Mairie;701401;6872477;68919;onstreetBus;77415;Saint-Jean-les-Deux-Jumeaux,
49332;49332-67881;2014-12-29T16:31:51+01:00;2023-07-06T17:07:20+02:00;Monument;699593;6855829;67881;onstreetBus;77176;Faremoutiers,
49331;49331-67766;2014-12-29T16:31:51+01:00;2023-07-06T17:07:20+02:00;Les Bordes;700693;6853244;67766;onstreetBus;77176;Faremoutiers,
49463;1182339-1182340;2014-12-29T01:00:00+01:00;2023-07-06T17:07:20+02:00;Mazagran;714296;6860353;68168;onstreetBus;77406;Saint-Denis-lès-Rebais,
43688;1371499-1371506;2014-12-29T01:00:00+01:00;2023-07-06T10:59:08+02:00;Les Deux Cèdres;665469;6878059;69165;onstreetBus;95527;Roissy-en-France,
56122;56122-61572;2014-12-29T16:31:51+01:00;2023-07-04T16:47:00+02:00;Petites Maisons;695587;6812674;61572;onstreetBus;77194;Forges,
43245;1488064-1488065;2014-12-29T01:00:00+01:00;2023-07-04T12:15:24+02:00;Nemours - Saint-Pierre / Gare Foljuif;676630;6796524;61218;railStation;77431;Saint-Pierre-lès-Nemours,
