"JOUR","CODE_STIF_TRNS","CODE_STIF_RES","CODE_STIF_ARRET","LIBELLE_ARRET","ID_REFA_LDA","CATEGORIE_TITRE","NB_VALD","Month","Year","Weekday","is_holiday"
2023-06-02,100,110,718,"QUAI.LA RAPEE",71637,"NON DEFINI",165,"Jun",2023,"Friday",FALSE
2022-10-06,100,110,705,"PORTE DOREE   ",71591,"FGT",259,"Oct",2022,"Thursday",FALSE
2021-10-24,810,801,151,"CHARLES DE GAULLE ETOILE",71347,"TST",328,"Oct",2021,"Sunday",FALSE
2020-05-17,100,110,297,"GABRIEL PERI-ASNIERES-GENNEVILLIERS",72203,"AMETHYSTE",75,"May",2020,"Sunday",FALSE
2019-08-04,100,110,802,"SIMPLON",71556,"AMETHYSTE",211,"Aug",2019,"Sunday",FALSE
2021-09-14,800,803,376,"JAVEL",71150,"IMAGINE R",757,"Sep",2021,"Tuesday",FALSE
2023-03-17,800,803,71,"BIBLIOTHEQUE FRANCOIS MITTERRAND",71572,"FGT",276,"Mar",2023,"Friday",FALSE
2022-05-04,100,110,183,"CHEVALERET",73651,"IMAGINE R",1314,"May",2022,"Wednesday",FALSE
2020-05-31,810,801,116,"BRY-SUR-MARNE",73166,"NAVIGO",535,"May",2020,"Sunday",FALSE
2020-01-07,100,110,124,"CAMPO-FORMIO",71063,"NAVIGO",452,"Jan",2020,"Tuesday",FALSE
2023-02-04,100,110,25,"ARGENTINE",71348,"NON DEFINI",239,"Feb",2023,"Saturday",FALSE
2021-09-02,800,850,397,"LA FERTE-SOUS-JOUARRE",68918,"TST",54,"Sep",2021,"Thursday",FALSE
2019-02-12,100,110,525,"MAUBERT-MUTUALITE",71190,"FGT",127,"Feb",2019,"Tuesday",FALSE
2021-11-27,800,853,536,"MERIEL",67065,"NON DEFINI",5,"Nov",2021,"Saturday",FALSE
2018-08-06,800,854,507,"MANTES-LA-JOLIE",65931,"NAVIGO",9,"Aug",2018,"Monday",FALSE
2017-11-19,800,853,890,"VIARMES",67176,"NAVIGO",60,"Nov",2017,"Sunday",FALSE
2019-08-15,800,854,579,"NANTERRE-UNIVERSITE",70956,"NAVIGO",6,"Aug",2019,"Thursday",TRUE
2019-09-21,100,110,861,"TRINITE-D'ESTIENNE D'ORVES",71355,"FGT",75,"Sep",2019,"Saturday",FALSE
2018-09-18,800,804,503,"MAISSE",59470,"IMAGINE R",49,"Sep",2018,"Tuesday",FALSE
2021-02-06,800,854,801,"SEVRES-VILLE-D'AVRAY",70686,"NAVIGO",368,"Feb",2021,"Saturday",FALSE
2019-11-05,800,803,639,"PETIT-VAUX",60985,"AMETHYSTE",8,"Nov",2019,"Tuesday",FALSE
2022-09-08,810,801,431,"LE PARC S.MAUR",70359,"IMAGINE R",1291,"Sep",2022,"Thursday",FALSE
2018-05-02,810,802,484,"LUXEMBOURG",71161,"TST",441,"May",2018,"Wednesday",FALSE
2019-02-11,800,803,522,"MASSY-PALAISEAU",63244,"FGT",244,"Feb",2019,"Monday",FALSE
2022-06-20,810,801,580,"NANTERRE-VILLE",70940,"FGT",451,"Jun",2022,"Monday",FALSE
2022-04-27,800,804,214,"COUDRAY-MONTCEAUX",59953,"AMETHYSTE",5,"Apr",2022,"Wednesday",FALSE
2020-07-27,800,853,39,"AUVERS-SUR-OISE",67027,"NAVIGO",18,"Jul",2020,"Monday",FALSE
2021-04-17,100,110,762,"SAINT-DENIS-PORTE DE PARIS",72285,"TST",967,"Apr",2021,"Saturday",FALSE
2019-09-14,100,110,389,"KLEBER",73656,"TST",44,"Sep",2019,"Saturday",FALSE
2022-04-10,810,801,826,"SAINT-MAUR-CRETEIL",70393,"AMETHYSTE",184,"Apr",2022,"Sunday",FALSE
2022-02-08,800,852,658,"PLAISIR-LES-CLAYES",64195,"NAVIGO JOUR",5,"Feb",2022,"Tuesday",FALSE
